DSC ID,ZoomInfo ID,SP_COMPANY_ID,Client Name,S&P Ticker,GP ID,URL,Titanium,GWS Enterprise Sector Mapping
904,65458239,100334,KeyCorp,NYSE:KEY,GP100586,https://www.key.com/,Titanium,Financial & Professional Services
905,22446559,4054537,Lennar Corporation,NYSE:LEN,GP100610,https://www.lennar.com/,Titanium,Industrial & Logistics
906,46581485,4329903,Lenovo,SEHK:992,GP100611,https://www.lenovo.com/,Titanium,Tech/Media/Telecom
907,491442528,4104164,L3Harris Technologies Inc,NYSE:LHX,GP100631,http://www.l3harris.com/,Titanium,Tech/Media/Telecom
908,344556665,4986300,LyondellBasell Industries NV,NYSE:LYB,GP100634,http://www.lyondellbasell.com/,Titanium,Industrial & Logistics
909,350982796,13542725,M&G,LSE:MNG,GP100635,https://www.mandg.com/,Titanium,Financial & Professional Services
910,88376327,4232116,AP Moller–Maersk Group,CPSE:MAERSK B,GP100639,http://www.maersk.com/,Titanium,Industrial & Logistics
911,70550662,103442,Marsh McLennan,NYSE:MMC,GP100650,https://www.marshmclennan.com/,Titanium,Financial & Professional Services
912,57705757,4051708,MetLife Inc,NYSE:MET,GP100685,https://www.metlife.com/,Titanium,Financial & Professional Services
913,37733594,4086798,Mitsui & Co.,TSE:8031,GP100701,https://www.mitsui.com/,Titanium,Industrial & Logistics
914,112886019,4992440,Sumitomo Heavy Industries Ltd,TSE:6302,GP128231,https://www.shi.co.jp/english/index.html,Not Titanium,Industrial & Logistics
915,348320995,4280272,Motorola Solutions Inc,NYSE:MSI,GP100725,https://www.motorolasolutions.com/,Titanium,Tech/Media/Telecom
916,27017272,4019364,NCR Corporation,NYSE:NCR,GP100732,http://www.ncr.com/,Titanium,Tech/Media/Telecom
917,355763080,4214553,Nippon Steel & Sumitomo Metal,TSE:5401,GP100750,http://www.nipponsteel.com/,Titanium,EOG & Utilities
918,204653030,4001583,Nissan,TSE:7201,GP100751,http://www.nissan-global.com/,Titanium,Industrial & Logistics
919,27820656,4166922,Nokia,HLSE:NOKIA,GP100754,http://www.nokia.com/,Titanium,Tech/Media/Telecom
920,6131071,4069910,Northrop Grumman Corporation,NYSE:NOC,GP100759,https://www.northropgrumman.com/,Titanium,Tech/Media/Telecom
921,180896284,4069981,Office Depot Inc,NASDAQGS:ODP,GP100788,https://www.officedepot.com/,Titanium,Retail & Multi-Site
922,12337715,4051243,Ecolab,NYSE:ECL,GP100789,https://www.ecolab.com/,Titanium,Industrial & Logistics
923,9978608,4213375,CRH Plc,LSE:CRH,GP100793,http://www.crh.com/,Titanium,EOG & Utilities
924,88752796,4930128,O'Reilly Auto Parts,NASDAQGS:ORLY,GP100802,http://www.oreillyauto.com/,Titanium,Retail & Multi-Site
925,211370446,4004416,O-I Glass Inc (Owens-Illinois),NYSE:OI,GP100812,http://www.o-i.com/,Titanium,Industrial & Logistics
926,39469842,4241641,Panasonic,TSE:6752,GP100817,https://www.panasonic.com/,Titanium,Industrial & Logistics
927,479360051,4041641,Penske Truck Leasing Co. LP,,GP100846,http://www.penske.com/,Titanium,Retail & Multi-Site
928,56526980,4023122,Prudential Financial Inc (PGIM),NYSE:PRU,GP100848,https://www.prudential.com/,Titanium,Financial & Professional Services
929,562831716,4006246,Pulte Homes Inc,NYSE:PHM,GP100859,https://www.pulte.com/,Titanium,Industrial & Logistics
930,99107151,4070417,Quest Diagnostics Inc,NYSE:DGX,GP100866,https://www.questdiagnostics.com/,Titanium,Healthcare
931,74319139,4309900,Randstad NV,ENXTAM:RAND,GP100870,www.randstad.com,Titanium,Financial & Professional Services
932,230703538,100233,Regions Financial Corporation,NYSE:RF,GP100885,https://www.regions.com/,Titanium,Financial & Professional Services
933,211911076,4004229,RR Donnelley & Sons Company,,GP118867,http://www.rrd.com/,Titanium,Financial & Professional Services
934,77513086,105364,"Ryder System, Inc",NYSE:R,GP100912,https://ryder.com/,Titanium,Financial & Professional Services
935,29709938,4237385,Subaru of America Inc,TSE:7270,GP100928,https://www.subaru.co.jp/,Titanium,Industrial & Logistics
936,244105590,4237911,Sainsburys,LSE:SBRY,GP100929,http://www.sainsburys.co.uk/,Titanium,Industrial & Logistics
937,1103813573,113818,Societe Generale,ENXTPA:GLE,GP100949,https://www.societegenerale.asia/en/,Titanium,Financial & Professional Services
938,36487399,4071032,Starbucks Corporation,NASDAQGS:SBUX,GP101002,http://www.starbucks.com/,Titanium,Retail & Multi-Site
939,36848621,4321488,Stryker Corporation,NYSE:SYK,GP101003,https://www.stryker.com/,Titanium,Life Sciences
940,109150433,4057252,Sun Life Financial Inc (Bentall GreenOak),TSX:SLF,GP101009,https://www.sunlife.com/,Titanium,Financial & Professional Services
941,34932407,4260547,ThyssenKrupp AG,XTRA:TKA,GP101029,https://www.thyssenkrupp.com/,Titanium,Industrial & Logistics
942,120389710,4144608,Toshiba Corporation,TSE:6502,GP101068,https://www.global.toshiba/,Titanium,Industrial & Logistics
943,120635758,4162612,Toyota Tsusho,TSE:8015,GP101069,https://www.toyota-tsusho.com/,Titanium,Industrial & Logistics
944,51200156,4055530,Travelers Companies Inc,NYSE:TRV,GP101073,https://www.travelers.com/,Titanium,Financial & Professional Services
945,8850023,3002287,Textron Inc,NYSE:TXT,GP101090,https://www.textron.com/,Titanium,Tech/Media/Telecom
946,344472790,4912674,US Foods,NYSE:USFD,GP101115,https://www.usfoods.com/,Titanium,Industrial & Logistics
947,2953966,4011157,Valero Energy Corporation,NYSE:VLO,GP101120,https://www.valero.com/,Titanium,EOG & Utilities
948,359762314,4571701,Veritiv Corporation,NYSE:VRTV,GP101129,https://www.veritivcorp.com/,Titanium,Industrial & Logistics
949,42664264,4977010,World Fuel Services,NYSE:INT,GP101159,https://www.wfscorp.com/en,Titanium,Industrial & Logistics
950,16516120,4071818,W W Grainger Inc,NYSE:GWW,GP101173,https://www.grainger.com/,Titanium,Industrial & Logistics
951,208371754,4042156,Zurich Insurance Group Ltd,SWX:ZURN,GP101192,https://www.zurich.com/,Titanium,Financial & Professional Services
952,2313156,113920,Aegon NV,ENXTAM:AGN,GP101195,https://www.aegon.co.uk/,Titanium,Financial & Professional Services
953,9097886,4021316,Aviva Life Insurance Company,LSE:AV.,GP101196,http://www.aviva.com/,Titanium,Financial & Professional Services
954,4899616,4048287,BlackRock Inc,NYSE:BLK,GP101198,https://www.blackrock.com/,Titanium,Financial & Professional Services
955,39388733,4145053,Legal & General Group Plc,LSE:LGEN,GP101218,https://group.legalandgeneral.com/,Titanium,Financial & Professional Services
956,97255894,110230,Principal Financial Group Inc,NASDAQGS:PFG,GP101257,http://www.principal.com/,Titanium,Financial & Professional Services
957,22660187,4069317,"Bath & Body Works, Inc",NYSE:BBWI,GP101308,https://www.bbwinc.com/,Titanium,Retail & Multi-Site
958,537133911,4065191,American Airlines Group Inc,NASDAQGS:AAL,GP101310,https://americanairlines.gcs-web.com/,Titanium,Industrial & Logistics
959,23445590,4004104,Macy's Inc,NYSE:M,GP101371,https://www.macys.com/,Titanium,Retail & Multi-Site
960,34770507,4068469,Foot Locker Inc,NYSE:FL,GP101394,http://www.footlocker.com/,Titanium,Retail & Multi-Site
961,112984465,4023122,Prudential Plc (UK),LSE:PRU,GP101397,https://www.prudentialplc.com/,Titanium,Financial & Professional Services
962,3183391,4796000,Alcoa,NYSE:AA,GP101399,http://www.alcoa.com/,Titanium,EOG & Utilities
963,124404507,4252151,Williams-Sonoma Inc,NYSE:WSM,GP101402,https://www.williams-sonoma.com/,Titanium,Retail & Multi-Site
964,56049732,4063852,Waste Management,NYSE:WM,GP101404,http://www.wm.com/,Titanium,Industrial & Logistics
965,41732436,102719,Franklin Templeton Companies,NYSE:BEN,GP101462,https://www.franklintempleton.com/,Titanium,Financial & Professional Services
966,4506176,4095864,Best Buy,NYSE:BBY,GP101465,https://www.bestbuy.com/,Titanium,Retail & Multi-Site
967,7455885,4254563,Bridgestone/Firestone,TSE:5108,GP101466,https://www.bridgestone.com/,Titanium,Industrial & Logistics
968,39126168,4074329,Paramount Global,NASDAQGS:PARA,GP101468,http://www.paramount.com/,Titanium,Tech/Media/Telecom
969,18008595,5309457,Albertson's/Safeway,NYSE:ACI,GP101470,http://www.cerberus.com/,Titanium,Retail & Multi-Site
970,11098200,4049198,Generali Group,BIT:G,GP101473,http://www.generali.com/,Titanium,Financial & Professional Services
971,6881912,4414480,Carrefour,ENXTPA:CA,GP101486,https://www.carrefour.com/,Titanium,Retail & Multi-Site
972,345351569,4085960,Credit Agricole,ENXTPA:ACA,GP101487,https://www.credit-agricole.com/,Titanium,Financial & Professional Services
973,8590337,4046286,Marriott International Inc,NASDAQGS:MAR,GP101507,https://www.marriott.com/,Titanium,Retail & Multi-Site
974,10715398,4019144,Hilton WorldWide Holdings Inc,NYSE:HLT,GP101526,https://www.hilton.com/,Titanium,Retail & Multi-Site
975,21712070,4004271,Lockheed Martin,NYSE:LMT,GP101530,http://www.lockheedmartin.com/,Titanium,Industrial & Logistics
976,194101651,4001527,Xerox Corporation,NASDAQGS:XRX,GP101531,https://www.xerox.com/,Titanium,Tech/Media/Telecom
977,15089853,102895,Freddie Mac,OTCQB:FMCC,GP101545,http://www.freddiemac.com/,Titanium,Financial & Professional Services
978,65750983,4275772,Kinder Morgan,NYSE:KMI,GP101588,http://www.kindermorgan.com/,Titanium,Industrial & Logistics
979,9634147,4004201,Corning Inc,NYSE:GLW,GP101655,https://www.corning.com/,Titanium,Tech/Media/Telecom
980,196838087,8710565,Nippon Life Insurance Company,,GP101705,https://www.nissay.co.jp/,Titanium,Financial & Professional Services
981,118063672,4298288,Medipal Holdings Ltd,TSE:7459,GP101722,https://www.medipal.co.jp/,Titanium,Industrial & Logistics
982,36129928,4346121,Japan Post Group,TSE:6178,GP101737,https://www.japanpost.jp/,Titanium,Financial & Professional Services
983,20880128,4007807,Avis Budget Group Inc,NASDAQGS:CAR,GP101794,https://avisbudgetgroup.com/,Titanium,Financial & Professional Services
984,370344022,4219010,Achmea Holding NV,,GP101800,https://www.achmea.nl/,Titanium,Financial & Professional Services
985,23675590,4185702,ManpowerGroup,NYSE:MAN,GP101873,https://www.manpowergroup.com/,Titanium,Financial & Professional Services
986,24057895,4210832,CK Hutchison Holdings Ltd,SEHK:1,GP101884,https://www.ckh.com.hk/,Titanium,Retail & Multi-Site
987,24365714,4810609,Fresenius SE & Co KGaA,XTRA:FRE,GP101899,https://www.fresenius.com/,Titanium,Life Sciences
988,370874098,4911828,Suzuki Motor Corporation,TSE:7269,GP101964,http://www.globalsuzuki.com/,Titanium,Industrial & Logistics
989,348205593,4631409,XPO Logistics Inc,NYSE:XPO,GP102060,http://www.xpo.com/,Titanium,Industrial & Logistics
990,102416977,4290308,Swiss Reinsurance Company,SWX:SREN,GP102089,http://www.swissre.com/,Titanium,Financial & Professional Services
991,11240319,4193280,Dick's Sporting Goods Inc,NYSE:DKS,GP102128,https://www.dickssportinggoods.com/,Titanium,Retail & Multi-Site
992,52904853,4307393,Phoenix Group Holdings Plc,LSE:PHNX,GP102177,http://www.thephoenixgroup.com/,Titanium,Financial & Professional Services
993,12324406,103462,Berkshire Hathaway Inc,NYSE:BRK.A,GP102257,http://www.berkshirehathaway.com/,Titanium,Financial & Professional Services
994,48286279,4004397,Genuine Parts Company,NYSE:GPC,GP102380,http://www.genpt.com/,Titanium,Industrial & Logistics
995,39584392,4994529,United Airlines Holdings,NASDAQGS:UAL,GP102411,http://ir.united.com/,Titanium,Industrial & Logistics
996,134070930,4021829,Norfolk Southern Corporation,NYSE:NSC,GP102499,http://www.nscorp.com/,Titanium,Industrial & Logistics
997,31542734,4056943,Edison International,NYSE:EIX,GP102513,http://www.edison.com/,Titanium,EOG & Utilities
998,565517721,4994497,Air France-KLM Group,ENXTPA:AF,GP102519,http://www.airfranceklm.com/,Titanium,Industrial & Logistics
999,92095587,4994517,Lufthansa AG,XTRA:LHA,GP102525,http://www.lufthansa.com/,Titanium,Industrial & Logistics
1000,17892070,4658186,LafargeHolcim,SWX:HOLN,GP102530,http://www.holcim.com/,Titanium,EOG & Utilities
1001,21594456,4165107,KKR & Co Inc,NYSE:KKR,GP102624,http://www.kkr.com/,Titanium,Financial & Professional Services
1002,397370499,4054841,Ahold Delhaize NV,ENXTAM:AD,GP102632,https://www.aholddelhaize.com/,Titanium,Retail & Multi-Site
1003,102515062,4191577,Sherwin-Williams Company,NYSE:SHW,GP102696,http://www.sherwin-williams.com/,Titanium,Industrial & Logistics
1004,137887803,4004099,Union Pacific Railroad,NYSE:UNP,GP102703,http://www.up.com/,Titanium,Industrial & Logistics
1005,72074644,102894,Fannie Mae,OTCQB:FNMA,GP102782,http://www.fanniemae.com/,Titanium,Financial & Professional Services
1006,39196216,4810597,Boston Scientific Corporation,NYSE:BSX,GP102810,https://www.bostonscientific.com/,Titanium,Life Sciences
1007,21692686,4120239,Kohl's Corporation,NYSE:KSS,GP102841,https://www.kohls.com/,Titanium,Retail & Multi-Site
1008,89440718,103450,Reinsurance Group of America Inc,NYSE:RGA,GP102853,http://www.rgare.com/,Titanium,Financial & Professional Services
1009,72238328,4064204,Sysco Corporation,NYSE:SYY,GP102863,https://www.sysco.com/,Titanium,Industrial & Logistics
1010,111051900,4070924,Sonic Automotive Inc,NYSE:SAH,GP102881,http://www.sonicautomotive.com/,Titanium,Retail & Multi-Site
1011,345458919,4348116,ArcelorMittal SA,ENXTAM:MT,GP102960,http://corporate.arcelormittal.com/,Titanium,EOG & Utilities
1012,91751134,4062146,Packaging Corporation of America,NYSE:PKG,GP102985,https://www.packagingcorp.com/,Titanium,Industrial & Logistics
1013,353639794,4211060,MS&AD Insurance Group,TSE:8725,GP103007,https://www.ms-ad-hd.com/,Titanium,Financial & Professional Services
1014,1245837,103410,Alleghany Corporation,,GP103008,https://www.alleghany.com/,Titanium,Financial & Professional Services
1015,76350623,4157135,Ralph Lauren Corporation,NYSE:RL,GP103080,http://www.ralphlauren.com/,Titanium,Retail & Multi-Site
1016,19515414,4102003,Republic Services Inc,NYSE:RSG,GP103090,http://www.republicservices.com/,Titanium,Industrial & Logistics
